"lad_code","local_authority","region","life_expectancy","population","deprived"
"E07000103","Watford","East of England","81.14","104195","0.494"
"E07000105","Ashford","South East","81.62","138283","0.500"
"E07000106","Canterbury","South East","81.41","159939","0.527"
"E07000107","Dartford","South East","82.00","120699","0.478"
"E07000108","Dover","South East","81.40","118591","0.549"
"E07000109","Gravesham","South East","81.45","107737","0.549"
"E07000110","Maidstone","South East","82.23","184187","0.485"
"E07000111","Sevenoaks","South East","84.04","121262","0.453"
"E07000112","Folkestone and Hythe","South East","80.61","110995","0.556"
"E07000113","Swale","South East","81.11","155893","0.557"
"E07000114","Thanet","South East","79.72","140439","0.588"
"E07000115","Tonbridge and Malling","South East","82.79","135206","0.461"
"E07000116","Tunbridge Wells","South East","82.90","117020","0.447"
"E07000117","Burnley","North West","77.76","96435","0.591"
"E07000118","Chorley","North West","79.94","119352","0.475"
"E07000119","Fylde","North West","81.41","83846","0.492"
"E07000120","Hyndburn","North West","77.57","84261","0.576"
"E07000121","Lancaster","North West","79.33","145559","0.516"
"E07000122","Pendle","North West","79.65","97039","0.575"
"E07000123","Preston","North West","79.25","156411","0.534"
"E07000124","Ribble Valley","North West","82.78","64469","0.414"
"E07000125","Rossendale","North West","79.35","71541","0.520"
"E07000126","South Ribble","North West","81.73","113552","0.476"
"E07000127","West Lancashire","North West","81.10","120703","0.513"
"E07000128","Wyre","North West","80.34","116994","0.540"
"E07000129","Blaby","East Midlands","82.95","105278","0.464"
"E07000130","Charnwood","East Midlands","81.38","188010","0.470"
"E07000131","Harborough","East Midlands","83.16","102581","0.421"
"E07000132","Hinckley and Bosworth","East Midlands","81.51","114970","0.486"
"E07000133","Melton","East Midlands","82.72","53237","0.469"
"E07000134","North West Leicestershire","East Midlands","81.87","110316","0.485"
"E07000135","Oadby and Wigston","East Midlands","82.72","59623","0.509"
"E07000136","Boston","East Midlands","80.00","71367","0.591"
"E07000137","East Lindsey","East Midlands","79.13","145371","0.602"
"E07000138","Lincoln","East Midlands","78.14","103314","0.548"
"E07000139","North Kesteven","East Midlands","81.74","121203","0.477"
"E07000140","South Holland","East Midlands","80.35","97915","0.560"
"E07000141","South Kesteven","East Midlands","81.26","145758","0.483"
"E07000142","West Lindsey","East Midlands","80.94","97880","0.508"
"E07000143","Breckland","East of England","81.58","145081","0.545"
"E07000144","Broadland","East of England","82.85","135565","0.490"
"E07000145","Great Yarmouth","East of England","79.76","100065","0.618"
"E07000146","King's Lynn and West Norfolk","East of England","81.58","155758","0.560"
"E07000147","North Norfolk","East of England","83.12","103228","0.556"
"E07000148","Norwich","East of England","80.39","145591","0.550"
"E07000149","South Norfolk","East of England","82.53","146655","0.483"
"E07000170","Ashfield","East Midlands","79.09","128360","0.569"
"E07000171","Bassetlaw","East Midlands","81.24","122286","0.532"
"E07000172","Broxtowe","East Midlands","81.85","113172","0.500"
"E07000173","Gedling","East Midlands","81.83","118563","0.493"
"E07000174","Mansfield","East Midlands","79.62","112091","0.575"
"E07000175","Newark and Sherwood","East Midlands","81.06","126168","0.509"
"E07000176","Rushcliffe","East Midlands","83.11","123854","0.416"
"E07000177","Cherwell","South East","81.99","166321","0.459"
"E07000178","Oxford","South East","81.98","165184","0.478"
"E07000179","South Oxfordshire","South East","84.04","153424","0.413"
"E07000180","Vale of White Horse","South East","83.48","145970","0.419"
"E07000181","West Oxfordshire","South East","83.60","119331","0.434"
"E07000192","Cannock Chase","West Midlands","81.02","102838","0.544"
"E07000193","East Staffordshire","West Midlands","81.48","127637","0.506"
"E07000194","Lichfield","West Midlands","82.95","110173","0.480"
"E07000195","Newcastle-under-Lyme","West Midlands","81.06","128060","0.532"
"E07000196","South Staffordshire","West Midlands","82.33","113088","0.497"
"E07000197","Stafford","West Midlands","81.75","140677","0.470"
"E07000198","Staffordshire Moorlands","West Midlands","81.60","95785","0.507"
"E07000199","Tamworth","West Midlands","80.88","80263","0.543"
"E07000200","Babergh","East of England","83.07","95872","0.488"
"E07000202","Ipswich","East of England","80.92","139378","0.548"
"E07000203","Mid Suffolk","East of England","82.87","108029","0.478"
"E07000207","Elmbridge","South East","84.11","140500","0.381"
"E07000208","Epsom and Ewell","South East","83.02","81989","0.424"
"E07000209","Guildford","South East","83.27","149176","0.423"
"E07000210","Mole Valley","South East","83.63","88266","0.433"
"E07000211","Reigate and Banstead","South East","83.23","155985","0.429"
"E07000212","Runnymede","South East","81.68","90442","0.466"
"E07000213","Spelthorne","South East","83.04","103954","0.491"
"E07000214","Surrey Heath","South East","84.25","92168","0.421"
"E07000215","Tandridge","South East","83.51","89409","0.440"
"E07000216","Waverley","South East","83.90","132146","0.405"
"E07000217","Woking","South East","83.45","104636","0.438"
"E07000218","North Warwickshire","West Midlands","79.42","66166","0.527"
"E07000219","Nuneaton and Bedworth","West Midlands","80.54","137794","0.549"
"E07000220","Rugby","West Midlands","81.01","118781","0.466"
"E07000221","Stratford-on-Avon","West Midlands","83.10","141929","0.435"
"E07000222","Warwick","West Midlands","81.80","153153","0.426"
"E07000223","Adur","South East","82.73","64687","0.545"
"E07000224","Arun","South East","81.97","168008","0.541"
"E07000225","Chichester","South East","82.51","128003","0.465"
"E07000226","Crawley","South East","81.47","120545","0.540"
"E07000227","Horsham","South East","83.64","149464","0.433"
"E07000228","Mid Sussex","South East","83.62","157915","0.427"
"E07000229","Worthing","South East","81.39","112240","0.522"
"E07000234","Bromsgrove","West Midlands","82.63","100679","0.453"
"E07000235","Malvern Hills","West Midlands","81.74","81822","0.473"
"E07000236","Redditch","West Midlands","81.44","87059","0.531"
"E07000237","Worcester","West Midlands","80.11","105143","0.499"
"E07000238","Wychavon","West Midlands","82.53","136229","0.483"
"E07000239","Wyre Forest","West Midlands","80.69","103253","0.541"
"E07000240","St Albans","East of England","83.40","148755","0.394"
"E07000241","Welwyn Hatfield","East of England","82.88","121749","0.485"
"E07000242","East Hertfordshire","East of England","83.70","153391","0.429"
"E07000243","Stevenage","East of England","80.80","90146","0.523"
"E07000244","East Suffolk","East of England","82.42","247100","0.531"
"E07000245","West Suffolk","East of England","82.62","186063","0.507"
"E08000001","Bolton","North West","79.48","302383","0.568"
"E08000002","Bury","North West","80.07","195476","0.525"
"E08000003","Manchester","North West","77.55","579917","0.564"
"E08000004","Oldham","North West","78.90","246130","0.591"
"E08000005","Rochdale","North West","79.46","229756","0.573"
"E08000006","Salford","North West","79.03","284106","0.536"
"E08000007","Stockport","North West","81.60","299545","0.487"
"E08000008","Tameside","North West","78.54","234666","0.568"
"E08000009","Trafford","North West","81.60","237480","0.461"
"E08000010","Wigan","North West","79.40","339174","0.534"
"E08000011","Knowsley","North West","78.11","159243","0.592"
"E08000012","Liverpool","North West","78.04","503740","0.584"
"E08000013","St. Helens","North West","78.97","185982","0.558"
"E08000014","Sefton","North West","80.30","282745","0.548"
"E08000015","Wirral","North West","79.86","324852","0.543"
"E08000016","Barnsley","Yorkshire and The Humber","79.60","248449","0.572"
"E08000017","Doncaster","Yorkshire and The Humber","79.11","314176","0.563"
"E08000018","Rotherham","Yorkshire and The Humber","80.22","271195","0.564"
"E08000019","Sheffield","Yorkshire and The Humber","80.19","573252","0.546"
"E08000021","Newcastle upon Tyne","North East","79.44","311976","0.538"
"E08000022","North Tyneside","North East","80.07","211769","0.506"
"E08000023","South Tyneside","North East","78.20","149270","0.567"
"E08000024","Sunderland","North East","78.99","281058","0.585"
"E08000025","Birmingham","West Midlands","79.07","1166049","0.596"
"E08000026","Coventry","West Midlands","79.76","360702","0.550"
"E08000027","Dudley","West Midlands","80.75","326680","0.558"
"E08000028","Sandwell","West Midlands","78.71","347551","0.621"
"E08000029","Solihull","West Midlands","82.18","218793","0.493"
"E08000030","Walsall","West Midlands","79.90","288736","0.598"
"E08000031","Wolverhampton","West Midlands","79.30","272425","0.597"
"E08000032","Bradford","Yorkshire and The Humber","79.29","560194","0.570"
"E08000033","Calderdale","Yorkshire and The Humber","80.30","208735","0.522"
"E08000034","Kirklees","Yorkshire and The Humber","79.82","442033","0.534"
"E08000035","Leeds","Yorkshire and The Humber","80.55","829413","0.517"
"E08000036","Wakefield","Yorkshire and The Humber","79.61","361786","0.553"
"E08000037","Gateshead","North East","78.73","199139","0.552"
"E09000002","Barking and Dagenham","London","80.28","222308","0.624"
"E09000003","Barnet","London","84.17","395007","0.504"
"E09000004","Bexley","London","81.68","250853","0.515"
"E09000005","Brent","London","82.72","344521","0.601"
"E09000006","Bromley","London","83.48","331162","0.454"
"E09000007","Camden","London","83.77","220903","0.525"
"E09000008","Croydon","London","81.74","397741","0.520"
"E09000009","Ealing","London","82.72","375340","0.540"
"E09000010","Enfield","London","83.45","327429","0.578"
"E09000011","Greenwich","London","81.08","294113","0.518"
"E09000012","Hackney","London","80.39","263282","0.550"
"E09000013","Hammersmith and Fulham","London","82.35","186176","0.486"
"E09000014","Haringey","London","82.41","262895","0.567"
"E09000015","Harrow","London","83.70","263448","0.513"
"E09000016","Havering","London","82.41","268145","0.527"
"E09000017","Hillingdon","London","82.53","319018","0.541"
"E09000018","Hounslow","London","82.35","295706","0.559"
"E09000019","Islington","London","80.82","220584","0.516"
"E09000020","Kensington and Chelsea","London","84.61","147460","0.474"
"E09000021","Kingston upon Thames","London","83.75","170454","0.442"
"E09000022","Lambeth","London","81.52","315706","0.500"
"E09000023","Lewisham","London","80.94","298708","0.528"
"E09000024","Merton","London","82.75","215219","0.461"
"E09000025","Newham","London","81.26","362552","0.607"
"E09000026","Redbridge","London","83.33","313392","0.537"
"E09000027","Richmond upon Thames","London","84.53","195513","0.390"
"E09000028","Southwark","London","81.18","315519","0.515"
"E09000029","Sutton","London","82.44","211123","0.491"
"E09000030","Tower Hamlets","London","81.16","328626","0.536"
"E09000031","Waltham Forest","London","81.66","275980","0.547"
"E09000032","Wandsworth","London","82.50","331456","0.416"
"E09000033","Westminster","London","84.20","211508","0.499"
